cantidad_,concepto_,descripcion_,estado_factura,factura,fecha,fecha_de_pago,mes,monto_unitario,proveedor_,referencia_banco,total
406,ostras,ostras de 7cm,paga,32,03/01/2023,23/01/2023,enero,452,Sindicato,94006759bn,183.512
404,ostras,ostras de 8cm,paga,32,03/01/2023,23/01/2023,enero,565,Sindicato,94006759bn,228.260
126,ostras,ostras de 9cm,paga,32,03/01/2023,23/01/2023,enero,678,Sindicato,94006759bn,85.428
1.260,ostras,ostras de 8cm,paga,28,03/01/2023,23/01/2023,enero,565,Sindicato,94006759bn,711.900
193,ostras,ostras de 9cm,paga,28,03/01/2023,23/01/2023,enero,678,Sindicato,94006759bn,130.854
808,ostras,ostras de 7cm,paga,28,03/01/2023,23/01/2023,enero,452,Sindicato,94006759bn,365.216
414,ostras d,ostras de 6.5cm,paga,33,14/01/2023,30/01/2023,enero,396,Sindicato,90473879bn,163.944
802,ostras d,ostras de 7cm,paga,33,14/01/2023,30/01/2023,enero,451,Sindicato,90473879bn,361.702
662,ostras d,ostras de 8cm,paga,33,14/01/2023,30/01/2023,enero,564,Sindicato,90473879bn,373.368
63,ostras d,ostras de 9cm,paga,33,14/01/2023,30/01/2023,enero,678,Sindicato,90473879bn,42.714
